iter	Logloss
134	0.5641406933
135	0.5639686187
136	0.5637478097
137	0.5634670883
138	0.5633166245
139	0.5631762097
140	0.5630716202
141	0.5629438145
142	0.5628005413
143	0.5625222881
144	0.5622841494
145	0.561864488
146	0.5614945148
147	0.5613506029
148	0.5610782533
149	0.5608414205
150	0.5605530269
151	0.5604498257
152	0.5602034821
153	0.5600602712
154	0.5598886757
155	0.5596812545
156	0.559561781
157	0.5593075859
158	0.559115649
159	0.5588896908
160	0.5586963942
161	0.5585124898
162	0.5583616157
163	0.558136233
164	0.5580237671
165	0.5576405773
166	0.5574451588
167	0.557231765
168	0.557095075
169	0.5568934181
170	0.556729902
171	0.5566370675
172	0.5563935499
173	0.5562700652
174	0.5559144462
175	0.5557604986
176	0.5554957755
177	0.5553906981
178	0.5551960091
179	0.5550392453
180	0.5548521613
181	0.554633189
182	0.5543821278
183	0.5542324527
184	0.5541300201
185	0.5539141709
186	0.5536716036
187	0.5535395075
188	0.5533024352
189	0.5531217902
190	0.5529861232
191	0.5527964205
192	0.5526886154
193	0.5524977817
194	0.5523052962
195	0.5521404926
196	0.5519884948
197	0.5515383434
198	0.5514018201
199	0.5512285139
200	0.5510964285
201	0.5509003198
202	0.5508059272
203	0.5506795941
204	0.5505875158
205	0.5503218996
206	0.5502346249
207	0.5501102388
208	0.5498089794
209	0.5496617912
210	0.5492487765
211	0.5489735024
212	0.5488297898
213	0.5485803325
214	0.5484440156
215	0.5483239257
216	0.5481611446
217	0.5480434922
218	0.5479168298
219	0.5476178399
220	0.5473047812
221	0.5471186666
222	0.5469722126
223	0.5468486424
224	0.5467548226
225	0.5464771646
226	0.5463495142
227	0.5462032525
228	0.5458921918
229	0.5455939251
230	0.5453143781
231	0.5451249956
232	0.5450182266
233	0.5448568559
234	0.5447291256
235	0.5446294368
236	0.5444417002
237	0.5441309314
238	0.5439587954
239	0.5437588423
240	0.5435342473
241	0.5434171743
242	0.5432608954
243	0.5431005097
244	0.54291723
245	0.542716024
246	0.542575679
247	0.5424194786
248	0.5422955609
249	0.5421681386
250	0.5420105413
251	0.5417235823
252	0.5415164556
253	0.5414288766
254	0.5412685825
255	0.5411417582
256	0.5409171112
257	0.5407152108
258	0.540563982
259	0.5403993206
260	0.5402096066
261	0.5400969541
262	0.5399680474
263	0.5398214093
264	0.5396705226
265	0.5394424137
266	0.5392493885
267	0.5390135271
268	0.5388166419
269	0.5386779238
270	0.5385114173
271	0.5384078989
272	0.5381774134
273	0.5380532541
274	0.5379572849
275	0.5378089075
276	0.5376416692
277	0.5375727169
278	0.5374585468
279	0.5373429918
280	0.5372252284
281	0.5371402435
282	0.5370133929
283	0.5369097887
284	0.5367752751
285	0.5366293479
286	0.5364168503
287	0.5362968681
288	0.536167284
289	0.5360807868
290	0.5357952548
291	0.5355715061
292	0.5354228754
293	0.5351820753
294	0.5350836964
295	0.5348649524
296	0.5347234335
297	0.5346394112
298	0.5345026104
299	0.5343425093
300	0.5342482442
301	0.5340973289
302	0.5339633544
303	0.5338324249
304	0.5337016493
305	0.5335929912
306	0.5335024723
307	0.5333824253
308	0.5332497605
309	0.5331377788
310	0.5329773045
311	0.5327782248
312	0.5326457715
313	0.532559049
314	0.5324889608
315	0.5322998171
316	0.5321869161
317	0.5320994834
318	0.5319042316
319	0.531690988
320	0.5316284589
321	0.5314537527
322	0.5312072776
323	0.5310385204
324	0.53092587
325	0.5307695172
326	0.530636232
327	0.5305085832
328	0.5303743579
329	0.5302579224
330	0.5300554818
331	0.5298232665
332	0.5296906971
333	0.5295575389
334	0.5294749317
335	0.5293191134
336	0.5291414967
337	0.5290314198
338	0.5289693788
339	0.528894753
340	0.5288272592
341	0.5287583959
342	0.5287044906
343	0.5285790113
344	0.528456636
345	0.5282840339
346	0.5281494144
347	0.5279645038
348	0.5278443961
349	0.5277105387
350	0.5276586517
351	0.5275698549
352	0.5274683915
353	0.5273821036
354	0.5272031508
355	0.5270916133
356	0.5270165763
357	0.5269225879
358	0.5268183348
359	0.5267071113
360	0.5265582738
361	0.5264569343
362	0.5263986811
363	0.5261737292
364	0.5260899553
365	0.5259942368
366	0.5258928002
367	0.5257221409
368	0.5256428217
369	0.5255685611
370	0.5255010619
371	0.5253530104
372	0.5252498143
373	0.5251712234
374	0.5250581863
375	0.5250160926
376	0.524971275
377	0.5248344049
378	0.5247094043
379	0.5245660758
380	0.5245033404
381	0.5243938231
382	0.5242437044
383	0.5241834594
384	0.5240814565
385	0.5240202628
386	0.5239198777
387	0.5238569557
388	0.5237985388
389	0.523647963
390	0.5235062678
391	0.5233619973
392	0.5232582382
393	0.5232025789
394	0.523117857
395	0.5230379253
396	0.5228592192
397	0.5226883792
398	0.5225517331
399	0.5224206084
400	0.5223664126
401	0.522294534
402	0.5222378122
403	0.522169952
404	0.5220369466
405	0.5219500448
406	0.5218874884
407	0.5218159035
408	0.5217241944
409	0.5216321573
410	0.5215326042
411	0.521507158
412	0.521412594
413	0.5213256816
414	0.5212076366
415	0.521100402
416	0.5209879162
417	0.52082757
418	0.520678857
419	0.5205231896
420	0.5204259242
421	0.5203384091
422	0.520283995
423	0.5202135871
424	0.5201500745
425	0.5200782037
426	0.5200006094
427	0.5198754151
428	0.5197639255
429	0.5196800604
430	0.5195373142
431	0.5194404193
432	0.5193248167
433	0.5191999223
434	0.5191219095
435	0.5189463244
436	0.5188774274
437	0.5188038459
438	0.5186845548
439	0.5185724779
440	0.5184678581
441	0.518434734
442	0.5183261352
443	0.5182121368
444	0.5180921501
445	0.5180237177
446	0.5179511056
447	0.5178454502
448	0.5178042118
449	0.5176983325
450	0.5176025241
451	0.5174283346
452	0.5173801674
453	0.5172982463
454	0.5172124612
455	0.5171420375
456	0.5170772276
457	0.5169660914
458	0.5168797448
459	0.5166979933
460	0.5166085404
461	0.5164726084
462	0.5163234058
463	0.516215088
464	0.5161411495
465	0.5160746661
466	0.516032761
467	0.5159374916
468	0.5158862711
469	0.5158143225
470	0.5156707163
471	0.515616786
472	0.5155342558
473	0.5154132651
474	0.5153812505
475	0.515312475
476	0.5151531211
477	0.5150179776
478	0.5149597269
479	0.5147945905
480	0.5147117211
481	0.514631354
482	0.5145800236
483	0.5144758403
484	0.5143395144
485	0.5142377567
486	0.5141663978
487	0.5140572634
488	0.5139398403
489	0.5138344839
490	0.5137456143
491	0.5136281562
492	0.5135253605
493	0.5134280113
494	0.5133430385
495	0.5132490122
496	0.5131886713
497	0.5131402204
498	0.5130875457
499	0.5130300685
500	0.5129283903
501	0.5128276453
502	0.5127187885
503	0.5126802029
504	0.5126115696
505	0.5125125508
506	0.512433661
507	0.5123920033
508	0.5123480705
509	0.5122113369
510	0.5121382948
511	0.5120649939
512	0.5120290097
513	0.511922212
514	0.5118308952
515	0.5116940212
516	0.5116467979
517	0.5116102882
518	0.5114859064
519	0.5113942794
520	0.5113499022
521	0.5112735711
522	0.5111874293
523	0.5111225614
524	0.5109972586
525	0.5109410563
526	0.510829926
527	0.5107198126
528	0.5106506087
529	0.5105910094
530	0.5104924234
531	0.5104173062
532	0.510333229
533	0.5102360824
534	0.5101568508
535	0.5100672426
536	0.5100071069
537	0.5099282813
538	0.509821594
539	0.5096662154
540	0.5095909997
541	0.5095046077
542	0.509392972
543	0.5093405457
544	0.509312581
545	0.5092182643
546	0.5091621547
547	0.5090535666
548	0.5089155906
549	0.5087878757
550	0.5086852166
551	0.5086310721
552	0.5085531001
553	0.5084919036
554	0.5084200538
555	0.5083130055
556	0.5081707556
557	0.5080528277
558	0.5080103496
559	0.5078582641
560	0.5077993458
561	0.5077023865
562	0.5076493337
563	0.5075825906
564	0.5075066108
565	0.5074597023
566	0.5073885403
567	0.5073101102
568	0.5072252112
569	0.5071437273
570	0.5071113424
571	0.5070631715
572	0.5070245027
573	0.5069698364
574	0.5068468573
575	0.5067729115
576	0.5066248479
577	0.5065671609
578	0.5064820477
579	0.5064128011
580	0.5063537935
581	0.5062392369
582	0.5061786511
583	0.5061253061
584	0.5060756662
585	0.5060488246
586	0.506000964
587	0.5059045384
588	0.5058497597
589	0.5057814841
590	0.5056555655
591	0.5055925183
592	0.5055426071
593	0.5054483352
594	0.5054039877
595	0.505292892
596	0.5052657774
597	0.5051778381
598	0.5051099852
599	0.5049959111
600	0.5049509216
601	0.5048522417
602	0.5048098279
603	0.504754674
604	0.5046878211
605	0.5046296524
606	0.5045785431
607	0.5044762726
608	0.5044005748
609	0.5043021982
610	0.5042324831
611	0.5041334105
612	0.5040484119
613	0.503961998
614	0.5038503741
615	0.5037899022
616	0.5037513438
617	0.5037264209
618	0.5036446176
619	0.5035597293
620	0.5034982292
621	0.5034637667
622	0.5033709561
623	0.5033090991
624	0.5032255064
625	0.5031583256
626	0.5030688426
627	0.5029618939
628	0.5028819357
629	0.5028155886
630	0.5027422049
631	0.5026709671
632	0.5025710623
633	0.5024944235
634	0.5024340973
635	0.5023731714
636	0.5022583842
637	0.5021958977
638	0.5021352532
639	0.5020723098
640	0.5020006598
641	0.501927373
642	0.5017972074
643	0.5017136697
644	0.5016610549
645	0.5016148445
646	0.5015665662
647	0.5015190576
648	0.5014806025
649	0.501440643
650	0.5013467099
651	0.5012999788
652	0.5012229996
653	0.5011389003
654	0.5010464937
655	0.5010000193
656	0.5009381099
657	0.5008915726
658	0.5007901775
659	0.5007071805
660	0.500639321
661	0.5005578882
662	0.5005335533
663	0.5004889798
664	0.5004426443
665	0.50035082
666	0.5003206322
667	0.5002542952
668	0.5001996429
669	0.5001669771
670	0.5001343051
671	0.5000150039
672	0.4999667502
673	0.4998952559
674	0.4997890463
675	0.4997327022
676	0.4996645395
677	0.499596273
678	0.4995337553
679	0.4994621789
680	0.4994203327
681	0.499305378
682	0.4992240719
683	0.4991823507
684	0.4991055463
685	0.4990519686
686	0.4989974509
687	0.4989250833
688	0.4988249434
689	0.4987752548
690	0.4987287833
691	0.4986623977
692	0.4986131895
693	0.498557822
694	0.4985104836
695	0.4984313493
696	0.4983609696
697	0.4983072673
698	0.4982526407
699	0.4981748263
