iter	Logloss
0	0.6849648879
1	0.677905327
2	0.6719185776
3	0.666126142
4	0.660894871
5	0.6562469944
6	0.6521922425
7	0.6482585298
8	0.6448321771
9	0.6418877858
10	0.6389149619
11	0.6359454326
12	0.6333640085
13	0.6306775616
14	0.6288137629
15	0.6268703162
16	0.6252121223
17	0.6237119952
18	0.6220813149
19	0.6207892524
20	0.6195995972
21	0.6182131648
22	0.617058503
23	0.6160559639
24	0.6146652824
25	0.6137209363
26	0.6124228311
27	0.6115279283
28	0.6101163556
29	0.6094075274
30	0.6080790303
31	0.6072924077
32	0.6062835125
33	0.6057030916
34	0.6047539774
35	0.6036999606
36	0.6030498677
37	0.6022505284
38	0.6015812394
39	0.6008450603
40	0.5999257388
41	0.5993392562
42	0.59888676
43	0.598285698
44	0.597491545
45	0.5968806889
46	0.5964220472
47	0.5959447864
48	0.5953997014
49	0.5947102321
50	0.5943765259
51	0.5937833768
52	0.5933043653
53	0.5922778373
54	0.5917411883
55	0.5912730277
56	0.5907317544
57	0.5903515885
58	0.5900055997
59	0.5897306142
60	0.5894652594
61	0.5892071167
62	0.5886609233
63	0.5879488006
64	0.5874609316
65	0.5870941933
66	0.5863429777
67	0.586094888
68	0.5856289023
69	0.5852309268
70	0.584829196
71	0.5844293243
72	0.583731176
73	0.583211854
74	0.5829541441
75	0.5824303487
76	0.5821702919
77	0.5818169009
78	0.5815234494
79	0.5813067557
80	0.5809361135
81	0.5806776018
82	0.580239273
83	0.5795924041
84	0.579280099
85	0.5790767397
86	0.5786154908
87	0.5780702974
88	0.57782397
89	0.5772704511
90	0.5768776804
91	0.5764417915
92	0.5761107914
93	0.5758266374
94	0.5752506505
95	0.5747472764
96	0.5745323896
97	0.5742855995
98	0.5738821033
99	0.5736777555
100	0.5733794737
101	0.5731572064
102	0.5730043331
103	0.5727829052
104	0.5723430623
105	0.572035201
106	0.5715459312
107	0.5712062499
108	0.5707886044
109	0.5703927956
110	0.5699795973
111	0.5696411021
112	0.5694847182
113	0.5691795418
114	0.5685763344
115	0.5684313004
116	0.5681887726
117	0.5679094649
118	0.5677635089
119	0.5675765549
120	0.5673427951
121	0.567188727
122	0.566936281
123	0.5667642243
124	0.5663840041
125	0.5662296666
126	0.565920267
127	0.5657731489
128	0.5656350769
129	0.5653677867
130	0.5651200505
131	0.5648502384
132	0.5645120027
133	0.5643077753
